# tiempo (s), tension (V)
0.000000000000000000e+00,-8.624257463827617043e-01
5.555555555555555768e-03,9.879146439240997779e-01
1.111111111111111154e-02,-1.001151876110175198e+00
1.666666666666666644e-02,8.870377215862828013e-01
2.222222222222222307e-02,-6.721916028342896920e-01
2.777777777777777971e-02,3.694884601862368778e-01
3.333333333333333287e-02,-2.924633672584340399e-02
3.888888888888888951e-02,-3.211800268705934380e-01
4.444444444444444614e-02,6.262059905405060745e-01
5.000000000000000278e-02,-8.625903088028785692e-01
5.555555555555555941e-02,9.879146439240997779e-01
6.111111111111111605e-02,-1.001151876110175198e+00
6.666666666666666574e-02,8.868731589288777473e-01
7.222222222222222932e-02,-6.723561652319813842e-01
7.777777777777777901e-02,3.696530226698214738e-01
8.333333333333334259e-02,-2.941089913484167678e-02
8.888888888888889228e-02,-3.208509020961732294e-01
9.444444444444444198e-02,6.263705530994572168e-01
1.000000000000000056e-01,-8.624257463827617043e-01
1.055555555555555552e-01,9.877500812226636118e-01
1.111111111111111188e-01,-1.001151876110175198e+00
1.166666666666666685e-01,8.870377215862828013e-01
1.222222222222222321e-01,-6.723561652319813842e-01
1.277777777777777957e-01,3.698175851534475922e-01
1.333333333333333315e-01,-2.974002395277797889e-02
1.388888888888888951e-01,-3.205217773217350907e-01
1.444444444444444586e-01,6.260414279816099992e-01
1.499999999999999944e-01,-8.622611839626691532e-01
1.555555555555555580e-01,9.880792066256104400e-01
1.611111111111111216e-01,-1.001316438554065380e+00
1.666666666666666852e-01,8.870377215862828013e-01
1.722222222222222210e-01,-6.723561652319813842e-01
1.777777777777777846e-01,3.703112726045745817e-01
1.833333333333333481e-01,-2.990458636171600820e-02
1.888888888888888840e-01,-3.206863397089563805e-01
1.944444444444444475e-01,6.260414279816099992e-01
2.000000000000000111e-01,-8.622611839626691532e-01
2.055555555555555747e-01,9.879146439240997779e-01
2.111111111111111105e-01,-1.001316438554065380e+00
2.166666666666666741e-01,8.870377215862828013e-01
2.222222222222222376e-01,-6.726852900274076230e-01
2.277777777777777735e-01,3.706403975722000199e-01
2.333333333333333370e-01,-2.990458636171600820e-02
2.388888888888889006e-01,-3.205217773217350907e-01
2.444444444444444642e-01,6.258768654227692130e-01
2.500000000000000000e-01,-8.625903088028785692e-01
2.555555555555555913e-01,9.879146439240997779e-01
2.611111111111111271e-01,-1.001151876110175198e+00
2.666666666666666630e-01,8.872022842437570223e-01
2.722222222222222543e-01,-6.725207276296872871e-01
2.777777777777777901e-01,3.706403975722000199e-01
2.833333333333333259e-01,-3.039827358840974797e-02
2.888888888888889173e-01,-3.205217773217350907e-01
2.944444444444444531e-01,6.258768654227692130e-01
2.999999999999999889e-01,-8.622611839626691532e-01
