# tiempo (s), tension (V)
0.000000000000000000e+00,-5.820932040798342672e-02
1.111111111111111154e-02,-6.934201522577652099e-01
2.222222222222222307e-02,-1.005101374772364276e+00
3.333333333333333287e-02,-8.472860038356121448e-01
4.444444444444444614e-02,-2.935335457498829403e-01
5.555555555555555941e-02,3.961475830735898818e-01
6.666666666666666574e-02,9.000381717404716264e-01
7.777777777777777901e-02,9.818258240205259835e-01
8.888888888888889228e-02,6.034963579305805403e-01
1.000000000000000056e-01,-5.804475800236724020e-02
1.111111111111111188e-01,-6.932555898581698184e-01
1.222222222222222321e-01,-1.005265937217022953e+00
1.333333333333333315e-01,-8.472860038356121448e-01
1.444444444444444586e-01,-2.941917953021648269e-01
1.555555555555555580e-01,3.963121455640038482e-01
1.666666666666666852e-01,9.000381717404716264e-01
1.777777777777777846e-01,9.818258240205259835e-01
1.888888888888888840e-01,6.034963579305805403e-01
2.000000000000000111e-01,-5.771563319107918949e-02
2.111111111111111105e-01,-6.930910274585898589e-01
2.222222222222222376e-01,-1.005101374772364276e+00
2.333333333333333370e-01,-8.472860038356121448e-01
2.444444444444444642e-01,-2.943563576902204493e-01
2.555555555555555913e-01,3.956538956026051101e-01
2.666666666666666630e-01,9.000381717404716264e-01
2.777777777777777901e-01,9.818258240205259835e-01
2.888888888888889173e-01,6.039900455850026884e-01
2.999999999999999889e-01,-5.771563319107918949e-02
3.111111111111111160e-01,-6.932555898581698184e-01
3.222222222222222432e-01,-1.005101374772364276e+00
3.333333333333333703e-01,-8.476151286714380673e-01
3.444444444444444420e-01,-2.946854824663140415e-01
3.555555555555555691e-01,3.954893331123625067e-01
3.666666666666666963e-01,9.000381717404716264e-01
3.777777777777777679e-01,9.819903867192849578e-01
3.888888888888888951e-01,6.043191706882208303e-01
4.000000000000000222e-01,-5.738650837971682322e-02
4.111111111111111494e-01,-6.925973402599425732e-01
4.222222222222222210e-01,-1.005101374772364276e+00
4.333333333333333481e-01,-8.476151286714380673e-01
4.444444444444444753e-01,-2.946854824663140415e-01
4.555555555555555469e-01,3.953247706221628133e-01
4.666666666666666741e-01,8.995444837519996906e-01
4.777777777777778012e-01,9.819903867192849578e-01
4.888888888888889284e-01,6.041546081365848364e-01
5.000000000000000000e-01,-5.722194597400776656e-02
5.111111111111111827e-01,-6.925973402599425732e-01
5.222222222222222543e-01,-1.004772249883143509e+00
5.333333333333333259e-01,-8.482733783433743513e-01
5.444444444444445086e-01,-2.951791696304101320e-01
5.555555555555555802e-01,3.951602081320058635e-01
5.666666666666666519e-01,8.997090464147537991e-01
5.777777777777778345e-01,9.818258240205259835e-01
5.888888888888889062e-01,6.043191706882208303e-01
5.999999999999999778e-01,-5.689282116253378124e-02
6.111111111111111605e-01,-6.922682154609213212e-01
6.222222222222222321e-01,-1.004607687438581420e+00
6.333333333333333037e-01,-8.479442535073589138e-01
6.444444444444444864e-01,-2.951791696304101320e-01
6.555555555555555580e-01,3.951602081320058635e-01
6.666666666666667407e-01,8.993799210893154150e-01
6.777777777777778123e-01,9.823195121170252841e-01
6.888888888888888840e-01,6.048128583434529970e-01
7.000000000000000666e-01,-5.672825875676888036e-02
7.111111111111111382e-01,-6.922682154609213212e-01
7.222222222222222099e-01,-1.005101374772364276e+00
7.333333333333333925e-01,-8.479442535073589138e-01
7.444444444444444642e-01,-2.955082944064448824e-01
7.555555555555555358e-01,3.945019581718063328e-01
7.666666666666667185e-01,8.990507957641559189e-01
7.777777777777777901e-01,9.821549494181179840e-01
7.888888888888889728e-01,6.051419834472112624e-01
8.000000000000000444e-01,-5.623457153936233660e-02
8.111111111111111160e-01,-6.922682154609213212e-01
8.222222222222222987e-01,-1.004772249883143509e+00
8.333333333333333703e-01,-8.484379407614178747e-01
8.444444444444444420e-01,-2.956728567944534314e-01
8.555555555555556246e-01,3.946665206617919752e-01
8.666666666666666963e-01,8.993799210893154150e-01
8.777777777777777679e-01,9.821549494181179840e-01
8.888888888888889506e-01,6.051419834472112624e-01
9.000000000000000222e-01,-5.574088432178788549e-02
9.111111111111110938e-01,-6.917745282625048509e-01
9.222222222222222765e-01,-1.004772249883143509e+00
9.333333333333333481e-01,-8.484379407614178747e-01
9.444444444444445308e-01,-2.961665439584441062e-01
9.555555555555556024e-01,3.940082707021057562e-01
9.666666666666666741e-01,8.987216704392757549e-01
9.777777777777778567e-01,9.823195121170252841e-01
9.888888888888889284e-01,6.053065459991714414e-01
# Medimos aliasing. Entrada = senoidal 2Vpp 100Hz. Variando frecuencia de sampleo de a 10 Hz entre 10 Hz y 300 Hz.
