# tiempo (s), tension (V)
0.000000000000000000e+00,9.956490909758239916e-01
4.347826086956521792e-03,-9.805815708723241153e-01
8.695652173913043584e-03,7.966928328276075000e-01
1.304347826086956624e-02,-4.868943500143939618e-01
1.739130434782608717e-02,9.055510292517110482e-02
2.173913043478260809e-02,3.150182803433840273e-01
2.608695652173913249e-02,-6.740017892096868968e-01
3.043478260869565341e-02,9.151779370265770153e-01
3.478260869565217434e-02,-1.011848435029803150e+00
3.913043478260869873e-02,9.337735191208038632e-01
4.347826086956521618e-02,-7.079016434836228333e-01
4.782608695652174058e-02,3.582982113992349560e-01
5.217391304347826497e-02,4.431306224017278472e-02
5.652173913043478243e-02,-4.460828781112501362e-01
6.086956521739130682e-02,7.675652499429472808e-01
6.521739130434782428e-02,-9.684039503994533726e-01
6.956521739130434867e-02,1.002067036527368504e+00
7.391304347826087306e-02,-8.769072394477724908e-01
7.826086956521739746e-02,5.992177316125724129e-01
8.260869565217390798e-02,-2.300124634217830255e-01
8.695652173913043237e-02,-1.849223678958043515e-01
9.130434782608695676e-02,5.620265966693976933e-01
9.565217391304348116e-02,-8.528811260575901443e-01
1.000000000000000056e-01,9.958136536808476214e-01
1.043478260869565299e-01,-9.807461333122940994e-01
1.086956521739130405e-01,7.960345823448734537e-01
1.130434782608695649e-01,-4.868943500143939618e-01
1.173913043478260892e-01,9.006141564736352967e-02
1.217391304347826136e-01,3.153474052841213626e-01
1.260869565217391242e-01,-6.746600388011717575e-01
1.304347826086956486e-01,9.158361877047036526e-01
1.347826086956521729e-01,-1.012012997475786102e+00
1.391304347826086973e-01,9.339380817982685379e-01
1.434782608695652217e-01,-7.074079562807078503e-01
1.478260869565217461e-01,3.578045239571193692e-01
1.521739130434782705e-01,4.480674949690109654e-02
1.565217391304347949e-01,-4.464120028839395626e-01
1.608695652173913193e-01,7.677298125525476857e-01
1.652173913043478160e-01,-9.680748255241159450e-01
1.695652173913043403e-01,1.001902473819490380e+00
1.739130434782608647e-01,-8.762489897588011667e-01
1.782608695652173891e-01,5.988886065126935998e-01
1.826086956521739135e-01,-2.291896514664739370e-01
1.869565217391304379e-01,-1.857451798653221853e-01
1.913043478260869623e-01,5.626848468221099520e-01
1.956521739130434867e-01,-8.535393757325794306e-01
2.000000000000000111e-01,9.956490909758239916e-01
2.043478260869565355e-01,-9.802524459924769618e-01
2.086956521739130599e-01,7.957054571038920665e-01
2.130434782608695565e-01,-4.859069756915116445e-01
2.173913043478260809e-01,8.907404109246329360e-02
2.217391304347826053e-01,3.160056551660585522e-01
2.260869565217391297e-01,-6.751537259949370595e-01
2.304347826086956541e-01,9.158361877047036526e-01
2.347826086956521785e-01,-1.011848435029803150e+00
2.391304347826087029e-01,9.334443937660893420e-01
2.434782608695652273e-01,-7.070788314788455375e-01
2.478260869565217517e-01,3.574753989959130740e-01
2.521739130434782483e-01,4.513587433484027300e-02
2.565217391304348005e-01,-4.472348148157024861e-01
2.608695652173912971e-01,7.677298125525476857e-01
2.652173913043478493e-01,-9.684039503994533726e-01
2.695652173913043459e-01,1.001737911111687529e+00
2.739130434782608980e-01,-8.759198649144668281e-01
2.782608695652173947e-01,5.985594814130296148e-01
2.826086956521738913e-01,-2.285314019020574794e-01
2.869565217391304435e-01,-1.860743046530471956e-01
2.913043478260869401e-01,5.630139718987766662e-01
2.956521739130434923e-01,-8.537039381513866765e-01
2.999999999999999889e-01,9.959782163859463022e-01
3.043478260869565410e-01,-9.802524459924769618e-01
3.086956521739130377e-01,7.955408944834977403e-01
3.130434782608695898e-01,-4.855778509172522517e-01
3.173913043478260865e-01,8.858035381537013309e-02
3.217391304347826386e-01,3.161702176366392725e-01
3.260869565217391353e-01,-6.754828507908527957e-01
3.304347826086956319e-01,9.160007503744119761e-01
3.347826086956521840e-01,-1.012012997475786102e+00
3.391304347826086807e-01,9.336089564434107979e-01
3.434782608695652328e-01,-7.064205818753148680e-01
3.478260869565217295e-01,3.566525865936109874e-01
3.521739130434782816e-01,4.579412401100767943e-02
3.565217391304347783e-01,-4.473993772020617987e-01
3.608695652173913304e-01,7.682235003817252661e-01
3.652173913043478271e-01,-9.685685128371671615e-01
3.695652173913043792e-01,1.001573348403959951e+00
3.739130434782608758e-01,-8.755907400702331866e-01
3.782608695652173725e-01,5.983949188632783356e-01
3.826086956521739246e-01,-2.283668395109298144e-01
3.869565217391304213e-01,-1.864034294407253545e-01
3.913043478260869734e-01,5.636722220527317084e-01
3.956521739130434701e-01,-8.538685005702180142e-01
4.000000000000000222e-01,9.963073417963683731e-01
4.043478260869565188e-01,-9.799233211127528209e-01
4.086956521739130710e-01,7.953763318631676960e-01
4.130434782608695676e-01,-4.852487261430102894e-01
4.173913043478261198e-01,8.825122896410673989e-02
4.217391304347826164e-01,3.168284675193481226e-01
4.260869565217391131e-01,-6.759765379848351463e-01
4.304347826086956652e-01,9.160007503744119761e-01
4.347826086956521618e-01,-1.011848435029803150e+00
4.391304347826087140e-01,9.326215803805562032e-01
4.434782608695652106e-01,-7.064205818753148680e-01
4.478260869565217628e-01,3.563234616329755133e-01
4.521739130434782594e-01,4.678149852598247060e-02
4.565217391304348116e-01,-4.482221891338927788e-01
4.608695652173913082e-01,7.688817508215078922e-01
4.652173913043478048e-01,-9.688976377126853334e-01
4.695652173913043570e-01,1.001737911111687529e+00
4.739130434782608536e-01,-8.755907400702331866e-01
4.782608695652174058e-01,5.977366686648094563e-01
4.826086956521739024e-01,-2.273794651639650388e-01
4.869565217391304546e-01,-1.873908038034794998e-01
4.913043478260869512e-01,5.643304722075160873e-01
4.956521739130435034e-01,-8.541976254079527431e-01
5.000000000000000000e-01,9.961427790911198121e-01
5.043478260869564966e-01,-9.799233211127528209e-01
5.086956521739131043e-01,7.948826440025626994e-01
5.130434782608696009e-01,-4.847550389816793759e-01
5.173913043478260976e-01,8.759297926189654748e-02
5.217391304347825942e-01,3.174867174026749228e-01
5.260869565217390909e-01,-6.763056627808959886e-01
5.304347826086956985e-01,9.168235637240138569e-01
5.347826086956521952e-01,-1.012177559921801695e+00
5.391304347826086918e-01,9.327861430575198343e-01
5.434782608695651884e-01,-7.060914570736464002e-01
5.478260869565217961e-01,3.556652117121932855e-01
5.521739130434782927e-01,4.711062336450066307e-02
5.565217391304347894e-01,-4.488804386793993073e-01
5.608695652173912860e-01,7.692108760417759594e-01
5.652173913043477826e-01,-9.690622001504897165e-01
5.695652173913043903e-01,1.001902473819490380e+00
5.739130434782608869e-01,-8.752616152261004645e-01
5.782608695652173836e-01,5.970784184671991124e-01
5.826086956521738802e-01,-2.272149027727710380e-01
5.869565217391304879e-01,-1.877199285909710302e-01
5.913043478260869845e-01,5.646595972852194167e-01
5.956521739130434812e-01,-8.545267502457837283e-01
5.999999999999999778e-01,9.961427790911198121e-01
6.043478260869564744e-01,-9.799233211127528209e-01
6.086956521739130821e-01,7.942243935226548368e-01
6.130434782608695787e-01,-4.840967894332980359e-01
6.173913043478260754e-01,8.709929198551566443e-02
6.217391304347825720e-01,3.183095297577031579e-01
6.260869565217391797e-01,-6.766347875770147846e-01
6.304347826086956763e-01,9.168235637240138569e-01
6.347826086956521729e-01,-1.011848435029803150e+00
6.391304347826086696e-01,9.326215803805562032e-01
6.434782608695652772e-01,-7.057623322720423253e-01
6.478260869565217739e-01,3.550069617920621479e-01
6.521739130434782705e-01,4.793343546121957982e-02
6.565217391304347672e-01,-4.492095634521666714e-01
6.608695652173912638e-01,7.693754386520043065e-01
6.652173913043478715e-01,-9.690622001504897165e-01
6.695652173913043681e-01,1.001408785696307646e+00
6.739130434782608647e-01,-8.752616152261004645e-01
6.782608695652173614e-01,5.965847308195542098e-01
6.826086956521739690e-01,-2.263920908166583146e-01
6.869565217391304657e-01,-1.883781781658146748e-01
6.913043478260869623e-01,5.651532849021635441e-01
6.956521739130434590e-01,-8.546913126647351922e-01
6.999999999999999556e-01,9.963073417963683731e-01
7.043478260869565633e-01,-9.797587586729369358e-01
7.086956521739130599e-01,7.940598309028383817e-01
7.130434782608695565e-01,-4.837676646591327900e-01
7.173913043478260532e-01,8.660560470937170297e-02
7.217391304347826608e-01,3.186386546999853131e-01
7.260869565217391575e-01,-6.769639123731917563e-01
7.304347826086956541e-01,9.169881263941463967e-01
7.347826086956521507e-01,-1.011848435029803150e+00
7.391304347826087584e-01,9.324570177036644036e-01
7.434782608695652550e-01,-7.052686450697571718e-01
7.478260869565217517e-01,3.545132743523908836e-01
7.521739130434782483e-01,4.793343546121957982e-02
7.565217391304347450e-01,-4.497032506113354255e-01
7.608695652173913526e-01,7.698691264830662684e-01
7.652173913043478493e-01,-9.692267625883242976e-01
7.695652173913043459e-01,1.001573348403959951e+00
7.739130434782608425e-01,-8.746033655381370009e-01
7.782608695652174502e-01,5.962556057213923566e-01
7.826086956521739468e-01,-2.260629660341464120e-01
7.869565217391304435e-01,-1.892009901341086542e-01
7.913043478260869401e-01,5.653178474412487997e-01
7.956521739130434367e-01,-8.551849999217343568e-01
8.000000000000000444e-01,9.964719045016918741e-01
8.043478260869565410e-01,-9.794296337933975360e-01
8.086956521739130377e-01,7.935661430437737085e-01
8.130434782608695343e-01,-4.829448527237936162e-01
8.173913043478261420e-01,8.594735500821459873e-02
8.217391304347826386e-01,3.192969045850143073e-01
8.260869565217391353e-01,-6.774575995675665707e-01
8.304347826086956319e-01,9.171526890643496577e-01
8.347826086956522396e-01,-1.011848435029803150e+00
8.391304347826087362e-01,9.321278923500952995e-01
8.434782608695652328e-01,-7.047749578676164584e-01
8.478260869565217295e-01,3.543487118725817675e-01
8.521739130434782261e-01,4.892080997808200687e-02
8.565217391304348338e-01,-4.500323753841266594e-01
8.608695652173913304e-01,7.703628143146938889e-01
8.652173913043478271e-01,-9.692267625883242976e-01
8.695652173913043237e-01,1.001573348403959951e+00
8.739130434782609314e-01,-8.742742406943060374e-01
8.782608695652174280e-01,5.959264806234447764e-01
8.826086956521739246e-01,-2.250755916863808326e-01
8.869565217391304213e-01,-1.893655525277327667e-01
8.913043478260869179e-01,5.656469725195749643e-01
8.956521739130435256e-01,-8.553495623407820769e-01
9.000000000000000222e-01,9.963073417963683731e-01
9.043478260869565188e-01,-9.797587586729369358e-01
9.086956521739130155e-01,7.930724551852862403e-01
9.130434782608696231e-01,-4.827802903367383047e-01
9.173913043478261198e-01,8.512454288235914157e-02
9.217391304347826164e-01,3.197905919991929080e-01
9.260869565217391131e-01,-6.781158491602704563e-01
9.304347826086956097e-01,9.173172517346237509e-01
9.347826086956522174e-01,-1.012177559921801695e+00
9.391304347826087140e-01,9.319633296734181060e-01
9.434782608695652106e-01,-7.041167082649869569e-01
9.478260869565217073e-01,3.536904619537513672e-01
9.521739130434783149e-01,4.908537239764402399e-02
9.565217391304348116e-01,-4.505260625433314958e-01
9.608695652173913082e-01,7.703628143146938889e-01
9.652173913043478048e-01,-9.697204499020092294e-01
9.695652173913044125e-01,1.001408785696307646e+00
9.739130434782609091e-01,-8.741096782724282477e-01
9.782608695652174058e-01,5.954327929769250849e-01
9.826086956521739024e-01,-2.247464669037153862e-01
9.869565217391303991e-01,-1.898592397085359929e-01
9.913043478260870067e-01,5.664697852162993152e-01
9.956521739130435034e-01,-8.558432495980703436e-01
# Medimos aliasing. Entrada = senoidal 2Vpp 100Hz. Variando frecuencia de sampleo de a 10 Hz entre 10 Hz y 300 Hz.
