# tiempo (s), tension (V)
0.000000000000000000e+00,8.378334900629262894e-01
6.250000000000000347e-03,-1.984164841595435769e-01
1.250000000000000069e-02,-5.634158606659230850e-01
1.875000000000000278e-02,9.890665828362401601e-01
2.500000000000000139e-02,-8.416908816410015870e-01
3.125000000000000000e-02,1.950522491406654346e-01
3.750000000000000555e-02,5.597227211414206316e-01
4.375000000000000416e-02,-9.925946290716537446e-01
5.000000000000000278e-02,8.381626153373835653e-01
5.625000000000000139e-02,-1.987456089455162667e-01
6.250000000000000000e-02,-5.634158606659230850e-01
6.875000000000000555e-02,9.892311455382728491e-01
7.500000000000001110e-02,-8.418554440581028642e-01
8.125000000000000278e-02,1.953813740299021884e-01
8.750000000000000833e-02,5.597227211414206316e-01
9.375000000000000000e-02,-9.924300666294426643e-01
1.000000000000000056e-01,8.383271779747120123e-01
1.062500000000000111e-01,-1.989101713384860692e-01
1.125000000000000028e-01,-5.627576111053788077e-01
1.187500000000000083e-01,9.890665828362401601e-01
1.250000000000000000e-01,-8.421845688923752515e-01
1.312500000000000056e-01,1.955459364745687489e-01
1.375000000000000111e-01,5.597227211414206316e-01
1.437500000000000167e-01,-9.927591915138961332e-01
1.500000000000000222e-01,8.383271779747120123e-01
1.562500000000000000e-01,-1.990747337314448251e-01
1.625000000000000056e-01,-5.630867358856340710e-01
1.687500000000000111e-01,9.890665828362401601e-01
1.750000000000000167e-01,-8.420200064752272340e-01
1.812500000000000222e-01,1.958750613639982374e-01
1.875000000000000000e-01,5.595581586040955235e-01
1.937500000000000056e-01,-9.927591915138961332e-01
2.000000000000000111e-01,8.383271779747120123e-01
2.062500000000000167e-01,-1.992392961243925897e-01
2.125000000000000222e-01,-5.629221734955022205e-01
2.187500000000000000e-01,9.889020201342820782e-01
2.250000000000000056e-01,-8.421845688923752515e-01
2.312500000000000111e-01,1.957104989192674227e-01
2.375000000000000167e-01,5.592290335295998505e-01
2.437500000000000222e-01,-9.927591915138961332e-01
2.500000000000000000e-01,8.386563032495685244e-01
2.562500000000000333e-01,-1.992392961243925897e-01
2.625000000000000111e-01,-5.629221734955022205e-01
2.687499999999999889e-01,9.889020201342820782e-01
2.750000000000000222e-01,-8.420200064752272340e-01
2.812500000000000000e-01,1.957104989192674227e-01
2.875000000000000333e-01,5.595581586040955235e-01
2.937500000000000111e-01,-9.930883163984757234e-01
3.000000000000000444e-01,8.386563032495685244e-01
3.062500000000000222e-01,-1.995684209102550899e-01
3.125000000000000000e-01,-5.627576111053788077e-01
3.187500000000000333e-01,9.889020201342820782e-01
3.250000000000000111e-01,-8.420200064752272340e-01
3.312500000000000444e-01,1.958750613639982374e-01
3.375000000000000222e-01,5.593935960668218188e-01
3.437500000000000000e-01,-9.924300666294426643e-01
3.500000000000000333e-01,8.384917406121070726e-01
3.562500000000000111e-01,-1.994038585173293077e-01
3.625000000000000444e-01,-5.625930487152638326e-01
3.687500000000000222e-01,9.890665828362401601e-01
3.750000000000000000e-01,-8.420200064752272340e-01
3.812500000000000333e-01,1.960396238087612208e-01
3.875000000000000111e-01,5.593935960668218188e-01
3.937500000000000444e-01,-9.924300666294426643e-01
4.000000000000000222e-01,8.386563032495685244e-01
4.062500000000000000e-01,-1.994038585173293077e-01
4.125000000000000333e-01,-5.625930487152638326e-01
4.187500000000000111e-01,9.890665828362401601e-01
4.250000000000000444e-01,-8.423491313095466948e-01
4.312500000000000222e-01,1.962041862535563452e-01
4.375000000000000000e-01,5.592290335295998505e-01
4.437500000000000333e-01,-9.924300666294426643e-01
4.500000000000000111e-01,8.386563032495685244e-01
4.562500000000000444e-01,-1.995684209102550899e-01
4.625000000000000222e-01,-5.627576111053788077e-01
4.687500000000000000e-01,9.889020201342820782e-01
4.750000000000000333e-01,-8.420200064752272340e-01
4.812500000000000111e-01,1.960396238087612208e-01
4.875000000000000444e-01,5.592290335295998505e-01
4.937500000000000222e-01,-9.924300666294426643e-01
5.000000000000000000e-01,8.388208658870967005e-01
5.062499999999999778e-01,-1.998975456960736252e-01
5.125000000000000666e-01,-5.624284863251574063e-01
5.187500000000000444e-01,9.889020201342820782e-01
5.250000000000000222e-01,-8.425136937267413417e-01
5.312500000000000000e-01,1.962041862535563452e-01
5.374999999999999778e-01,5.588999084553105678e-01
5.437500000000000666e-01,-9.925946290716537446e-01
5.500000000000000444e-01,8.386563032495685244e-01
5.562500000000000222e-01,-1.998975456960736252e-01
5.625000000000000000e-01,-5.622639239350593066e-01
5.687499999999999778e-01,9.887374574323987142e-01
5.750000000000000666e-01,-8.421845688923752515e-01
5.812500000000000444e-01,1.966978735881347584e-01
5.875000000000000222e-01,5.588999084553105678e-01
5.937500000000000000e-01,-9.925946290716537446e-01
6.000000000000000888e-01,8.384917406121070726e-01
6.062500000000000666e-01,-1.997329833031698254e-01
6.125000000000000444e-01,-5.624284863251574063e-01
6.187500000000000222e-01,9.890665828362401601e-01
6.250000000000000000e-01,-8.425136937267413417e-01
6.312500000000000888e-01,1.966978735881347584e-01
6.375000000000000666e-01,5.587353459182433646e-01
6.437500000000000444e-01,-9.922655041872628923e-01
6.500000000000000222e-01,8.391499911623524488e-01
6.562500000000000000e-01,-1.998975456960736252e-01
6.625000000000000888e-01,-5.622639239350593066e-01
6.687500000000000666e-01,9.889020201342820782e-01
6.750000000000000444e-01,-8.421845688923752515e-01
6.812500000000000222e-01,1.963687486983836383e-01
6.875000000000000000e-01,5.587353459182433646e-01
6.937500000000000888e-01,-9.922655041872628923e-01
7.000000000000000666e-01,8.386563032495685244e-01
7.062500000000000444e-01,-2.000621080889664338e-01
7.125000000000000222e-01,-5.622639239350593066e-01
7.187500000000000000e-01,9.889020201342820782e-01
7.250000000000000888e-01,-8.425136937267413417e-01
7.312500000000000666e-01,1.968624360330585854e-01
7.375000000000000444e-01,5.585707833812276757e-01
7.437500000000000222e-01,-9.922655041872628923e-01
7.500000000000000000e-01,8.391499911623524488e-01
7.562500000000000888e-01,-2.002266704818483067e-01
7.625000000000000666e-01,-5.620993615449697556e-01
7.687500000000000444e-01,9.887374574323987142e-01
7.750000000000000222e-01,-8.421845688923752515e-01
7.812500000000000000e-01,1.965333111432431001e-01
7.875000000000000888e-01,5.585707833812276757e-01
7.937500000000000666e-01,-9.924300666294426643e-01
8.000000000000000444e-01,8.388208658870967005e-01
8.062500000000000222e-01,-2.000621080889664338e-01
8.125000000000000000e-01,-5.619347991548885313e-01
8.187500000000000888e-01,9.892311455382728491e-01
8.250000000000000666e-01,-8.425136937267413417e-01
8.312500000000000444e-01,1.966978735881347584e-01
8.375000000000000222e-01,5.584062208442635011e-01
8.437500000000000000e-01,-9.921009417451148726e-01
8.500000000000000888e-01,8.391499911623524488e-01
8.562500000000000666e-01,-2.003912328747191884e-01
8.625000000000000444e-01,-5.620993615449697556e-01
8.687500000000000222e-01,9.889020201342820782e-01
8.750000000000000000e-01,-8.423491313095466948e-01
8.812500000000000888e-01,1.970269984780146366e-01
8.875000000000000666e-01,5.584062208442635011e-01
8.937500000000000444e-01,-9.922655041872628923e-01
9.000000000000000222e-01,8.391499911623524488e-01
9.062500000000000000e-01,-2.003912328747191884e-01
9.125000000000000888e-01,-5.616056743747512847e-01
9.187500000000000666e-01,9.887374574323987142e-01
9.250000000000000444e-01,-8.428428185612010237e-01
9.312500000000000222e-01,1.966978735881347584e-01
9.375000000000000000e-01,5.584062208442635011e-01
9.437500000000000888e-01,-9.924300666294426643e-01
9.500000000000000666e-01,8.391499911623524488e-01
9.562500000000000444e-01,-2.007203576604282003e-01
9.625000000000000222e-01,-5.617702367648156336e-01
9.687500000000000000e-01,9.887374574323987142e-01
9.750000000000000888e-01,-8.426782561439595254e-01
9.812500000000000666e-01,1.971915609230028843e-01
9.875000000000000444e-01,5.584062208442635011e-01
9.937500000000000222e-01,-9.922655041872628923e-01
# Medimos aliasing. Entrada = senoidal 2Vpp 100Hz. Variando frecuencia de sampleo de a 10 Hz entre 10 Hz y 300 Hz.
