# tiempo (s), tension (V)
0.000000000000000000e+00,-1.273255292353927537e-01
3.333333333333333287e-02,9.291657641808439561e-01
6.666666666666666574e-02,-8.071327745540373133e-01
1.000000000000000056e-01,-1.276546540325471657e-01
1.333333333333333315e-01,9.293303268563062325e-01
1.666666666666666574e-01,-8.068036497293304965e-01
2.000000000000000111e-01,-1.276546540325471657e-01
2.333333333333333370e-01,9.291657641808439561e-01
2.666666666666666630e-01,-8.072973369664229182e-01
2.999999999999999889e-01,-1.281483412281674839e-01
3.333333333333333148e-01,9.293303268563062325e-01
3.666666666666666408e-01,-8.063099624924315867e-01
4.000000000000000222e-01,-1.283129036266779655e-01
4.333333333333333481e-01,9.291657641808439561e-01
4.666666666666666741e-01,-8.064745249047097220e-01
5.000000000000000000e-01,-1.283129036266779655e-01
5.333333333333333259e-01,9.298240148831213858e-01
5.666666666666666519e-01,-8.064745249047097220e-01
5.999999999999999778e-01,-1.288065908221206757e-01
6.333333333333333037e-01,9.299885775588693226e-01
6.666666666666666297e-01,-8.063099624924315867e-01
6.999999999999999556e-01,-1.293002780174304089e-01
7.333333333333332815e-01,9.301531402346886468e-01
7.666666666666666075e-01,-8.058162752557260777e-01
8.000000000000000444e-01,-1.293002780174304089e-01
8.333333333333333703e-01,9.298240148831213858e-01
8.666666666666666963e-01,-8.063099624924315867e-01
9.000000000000000222e-01,-1.297939652126073873e-01
9.333333333333333481e-01,9.301531402346886468e-01
9.666666666666666741e-01,-8.058162752557260777e-01
# Medimos aliasing. Entrada = senoidal 2Vpp 100Hz. Variando frecuencia de sampleo de a 10 Hz entre 10 Hz y 300 Hz.
