# tiempo (s), tension (V)
0.000000000000000000e+00,1.000585972159174553e+00
2.777777777777777884e-03,1.000585972159174553e+00
5.555555555555555768e-03,1.000750534866450714e+00
8.333333333333333218e-03,1.000421409451973664e+00
1.111111111111111154e-02,-1.004443124994051306e+00
1.388888888888888985e-02,-1.004607687438581420e+00
1.666666666666666644e-02,-1.004772249883143509e+00
1.944444444444444475e-02,1.000585972159174553e+00
2.222222222222222307e-02,1.000915097573802148e+00
2.500000000000000139e-02,1.000750534866450714e+00
2.777777777777777971e-02,1.000750534866450714e+00
3.055555555555555802e-02,-1.004607687438581420e+00
3.333333333333333287e-02,-1.004278562549553389e+00
3.611111111111111466e-02,-1.004607687438581420e+00
3.888888888888888951e-02,9.997631586239219548e-01
4.166666666666667129e-02,1.000256846744848049e+00
4.444444444444444614e-02,1.000750534866450714e+00
4.722222222222222099e-02,1.000915097573802148e+00
5.000000000000000278e-02,-1.004772249883143509e+00
5.277777777777777762e-02,-1.004772249883143509e+00
5.555555555555555941e-02,-1.004607687438581420e+00
5.833333333333333426e-02,-1.004772249883143509e+00
6.111111111111111605e-02,1.000750534866450714e+00
6.388888888888889783e-02,1.000915097573802148e+00
6.666666666666666574e-02,1.000421409451973664e+00
6.944444444444444753e-02,-1.004278562549553389e+00
7.222222222222222932e-02,-1.004278562549553389e+00
7.499999999999999722e-02,-1.004772249883143509e+00
7.777777777777777901e-02,-1.004607687438581420e+00
8.055555555555556080e-02,1.000421409451973664e+00
8.333333333333334259e-02,1.000915097573802148e+00
8.611111111111111049e-02,1.000750534866450714e+00
8.888888888888889228e-02,-1.003784875216251704e+00
9.166666666666667407e-02,-1.004772249883143509e+00
9.444444444444444198e-02,-1.004443124994051306e+00
9.722222222222222376e-02,-1.004607687438581420e+00
1.000000000000000056e-01,1.000421409451973664e+00
1.027777777777777873e-01,1.000585972159174553e+00
1.055555555555555552e-01,1.000915097573802148e+00
1.083333333333333370e-01,1.000915097573802148e+00
1.111111111111111188e-01,-1.004772249883143509e+00
1.138888888888888867e-01,-1.004772249883143509e+00
1.166666666666666685e-01,-1.004772249883143509e+00
1.194444444444444503e-01,1.000585972159174553e+00
1.222222222222222321e-01,1.000915097573802148e+00
1.250000000000000000e-01,1.000585972159174553e+00
1.277777777777777957e-01,1.000585972159174553e+00
1.305555555555555636e-01,-1.004607687438581420e+00
1.333333333333333315e-01,-1.004443124994051306e+00
1.361111111111111271e-01,-1.004443124994051306e+00
1.388888888888888951e-01,9.999277213308220835e-01
1.416666666666666630e-01,1.000585972159174553e+00
1.444444444444444586e-01,1.000915097573802148e+00
1.472222222222222265e-01,1.000585972159174553e+00
1.499999999999999944e-01,-1.004278562549553389e+00
1.527777777777777901e-01,-1.004772249883143509e+00
1.555555555555555580e-01,-1.004772249883143509e+00
1.583333333333333259e-01,-1.004607687438581420e+00
1.611111111111111216e-01,1.000750534866450714e+00
1.638888888888888895e-01,1.000750534866450714e+00
1.666666666666666852e-01,1.000915097573802148e+00
1.694444444444444531e-01,-1.004278562549553389e+00
1.722222222222222210e-01,-1.004772249883143509e+00
1.750000000000000167e-01,-1.004607687438581420e+00
1.777777777777777846e-01,-1.004443124994051306e+00
1.805555555555555525e-01,1.000421409451973664e+00
1.833333333333333481e-01,1.000915097573802148e+00
1.861111111111111160e-01,1.000585972159174553e+00
1.888888888888888840e-01,-1.003620312771881906e+00
1.916666666666666796e-01,-1.004772249883143509e+00
1.944444444444444475e-01,-1.004443124994051306e+00
1.972222222222222432e-01,-1.004607687438581420e+00
2.000000000000000111e-01,1.000915097573802148e+00
2.027777777777777790e-01,1.000750534866450714e+00
2.055555555555555747e-01,1.000915097573802148e+00
2.083333333333333426e-01,1.000750534866450714e+00
2.111111111111111105e-01,-1.004607687438581420e+00
2.138888888888889062e-01,-1.004443124994051306e+00
2.166666666666666741e-01,-1.004772249883143509e+00
2.194444444444444420e-01,1.000585972159174553e+00
2.222222222222222376e-01,1.000750534866450714e+00
2.250000000000000056e-01,1.000750534866450714e+00
2.277777777777777735e-01,1.000915097573802148e+00
2.305555555555555691e-01,-1.004443124994051306e+00
2.333333333333333370e-01,-1.004607687438581420e+00
2.361111111111111327e-01,-1.004607687438581420e+00
2.388888888888889006e-01,9.997631586239219548e-01
2.416666666666666685e-01,1.000750534866450714e+00
2.444444444444444642e-01,1.000750534866450714e+00
2.472222222222222321e-01,1.000915097573802148e+00
2.500000000000000000e-01,-1.004607687438581420e+00
2.527777777777777679e-01,-1.004443124994051306e+00
2.555555555555555913e-01,-1.004772249883143509e+00
2.583333333333333592e-01,-1.004278562549553389e+00
2.611111111111111271e-01,1.000915097573802148e+00
2.638888888888888951e-01,1.000585972159174553e+00
2.666666666666666630e-01,1.000750534866450714e+00
2.694444444444444309e-01,-1.004114000105087445e+00
2.722222222222222543e-01,-1.004936812327738016e+00
2.750000000000000222e-01,-1.004607687438581420e+00
2.777777777777777901e-01,-1.004607687438581420e+00
2.805555555555555580e-01,1.000256846744848049e+00
2.833333333333333259e-01,1.000585972159174553e+00
2.861111111111111494e-01,1.000585972159174553e+00
2.888888888888889173e-01,-1.003949437660653476e+00
2.916666666666666852e-01,-1.004772249883143509e+00
2.944444444444444531e-01,-1.004607687438581420e+00
2.972222222222222210e-01,-1.004936812327738016e+00
2.999999999999999889e-01,1.000915097573802148e+00
3.027777777777778123e-01,1.000585972159174553e+00
3.055555555555555802e-01,1.000585972159174553e+00
3.083333333333333481e-01,1.000585972159174553e+00
3.111111111111111160e-01,-1.004443124994051306e+00
3.138888888888888840e-01,-1.004607687438581420e+00
3.166666666666666519e-01,-1.004772249883143509e+00
3.194444444444444753e-01,1.000256846744848049e+00
3.222222222222222432e-01,1.001079660281228634e+00
3.250000000000000111e-01,1.000421409451973664e+00
3.277777777777777790e-01,1.000915097573802148e+00
3.305555555555555469e-01,-1.004278562549553389e+00
3.333333333333333703e-01,-1.004772249883143509e+00
3.361111111111111382e-01,-1.004772249883143509e+00
3.388888888888889062e-01,9.997631586239219548e-01
3.416666666666666741e-01,1.000915097573802148e+00
3.444444444444444420e-01,1.000915097573802148e+00
3.472222222222222099e-01,1.000750534866450714e+00
3.500000000000000333e-01,-1.004607687438581420e+00
3.527777777777778012e-01,-1.004443124994051306e+00
3.555555555555555691e-01,-1.004607687438581420e+00
3.583333333333333370e-01,-1.004607687438581420e+00
3.611111111111111049e-01,1.000915097573802148e+00
3.638888888888889284e-01,1.000585972159174553e+00
3.666666666666666963e-01,1.000915097573802148e+00
3.694444444444444642e-01,-1.004443124994051306e+00
3.722222222222222321e-01,-1.004607687438581420e+00
3.750000000000000000e-01,-1.004607687438581420e+00
3.777777777777777679e-01,-1.004443124994051306e+00
3.805555555555555913e-01,1.000421409451973664e+00
3.833333333333333592e-01,1.000750534866450714e+00
3.861111111111111271e-01,1.001079660281228634e+00
3.888888888888888951e-01,-1.003784875216251704e+00
3.916666666666666630e-01,-1.004772249883143509e+00
3.944444444444444864e-01,-1.004607687438581420e+00
3.972222222222222543e-01,-1.004772249883143509e+00
4.000000000000000222e-01,1.000750534866450714e+00
4.027777777777777901e-01,1.000750534866450714e+00
4.055555555555555580e-01,1.000256846744848049e+00
4.083333333333333259e-01,1.000750534866450714e+00
4.111111111111111494e-01,-1.004772249883143509e+00
4.138888888888889173e-01,-1.004443124994051306e+00
4.166666666666666852e-01,-1.004114000105087445e+00
4.194444444444444531e-01,1.000750534866450714e+00
4.222222222222222210e-01,1.000750534866450714e+00
4.249999999999999889e-01,1.000750534866450714e+00
