# tiempo (s), tension (V)
0.000000000000000000e+00,-1.004443124994051306e+00
3.125000000000000173e-03,-1.004443124994051306e+00
6.250000000000000347e-03,-1.004772249883143509e+00
9.375000000000001388e-03,1.000585972159174553e+00
1.250000000000000069e-02,1.000421409451973664e+00
1.562500000000000000e-02,1.000750534866450714e+00
1.875000000000000278e-02,-1.004114000105087445e+00
2.187500000000000208e-02,-1.004607687438581420e+00
2.500000000000000139e-02,-1.004278562549553389e+00
2.812500000000000069e-02,5.371776540049713056e-01
3.125000000000000000e-02,1.000421409451973664e+00
3.437500000000000278e-02,1.000585972159174553e+00
3.750000000000000555e-02,1.000585972159174553e+00
4.062500000000000139e-02,-1.004443124994051306e+00
4.375000000000000416e-02,-1.004936812327738016e+00
4.687500000000000000e-02,-1.004772249883143509e+00
5.000000000000000278e-02,1.000915097573802148e+00
5.312500000000000555e-02,1.000750534866450714e+00
5.625000000000000139e-02,1.000915097573802148e+00
5.937500000000000416e-02,-1.004278562549553389e+00
6.250000000000000000e-02,-1.004278562549553389e+00
6.562500000000000278e-02,-1.004443124994051306e+00
6.875000000000000555e-02,9.997631586239219548e-01
7.187500000000000833e-02,1.000750534866450714e+00
7.500000000000001110e-02,1.000915097573802148e+00
7.812500000000000000e-02,-3.241421498395774536e-01
8.125000000000000278e-02,-1.004607687438581420e+00
8.437500000000000555e-02,-1.004443124994051306e+00
8.750000000000000833e-02,-1.004607687438581420e+00
9.062500000000001110e-02,1.000585972159174553e+00
9.375000000000000000e-02,1.000585972159174553e+00
9.687500000000000278e-02,1.000915097573802148e+00
1.000000000000000056e-01,-1.004443124994051306e+00
1.031250000000000083e-01,-1.004772249883143509e+00
1.062500000000000111e-01,-1.004443124994051306e+00
1.093750000000000000e-01,1.000750534866450714e+00
1.125000000000000028e-01,1.000585972159174553e+00
1.156250000000000056e-01,1.000915097573802148e+00
1.187500000000000083e-01,-1.003784875216251704e+00
1.218750000000000111e-01,-1.004607687438581420e+00
1.250000000000000000e-01,-1.004443124994051306e+00
1.281250000000000167e-01,-2.611965095104675644e-02
1.312500000000000056e-01,1.000585972159174553e+00
1.343749999999999944e-01,1.000421409451973664e+00
1.375000000000000111e-01,1.000915097573802148e+00
1.406250000000000000e-01,-1.004607687438581420e+00
1.437500000000000167e-01,-1.004607687438581420e+00
1.468750000000000056e-01,-1.004772249883143509e+00
1.500000000000000222e-01,1.000421409451973664e+00
1.531250000000000111e-01,1.000421409451973664e+00
1.562500000000000000e-01,1.000915097573802148e+00
1.593750000000000167e-01,-1.004443124994051306e+00
1.625000000000000056e-01,-1.004607687438581420e+00
1.656250000000000222e-01,-1.004772249883143509e+00
1.687500000000000111e-01,1.000256846744848049e+00
1.718750000000000000e-01,1.000750534866450714e+00
1.750000000000000167e-01,1.000750534866450714e+00
1.781250000000000056e-01,4.124392698339363617e-01
1.812500000000000222e-01,-1.004772249883143509e+00
1.843750000000000111e-01,-1.004443124994051306e+00
1.875000000000000000e-01,-1.004278562549553389e+00
1.906250000000000167e-01,1.000585972159174553e+00
1.937500000000000056e-01,1.000750534866450714e+00
1.968750000000000222e-01,1.000750534866450714e+00
2.000000000000000111e-01,-1.004607687438581420e+00
2.031250000000000000e-01,-1.004936812327738016e+00
2.062500000000000167e-01,-1.004607687438581420e+00
2.093750000000000056e-01,1.000585972159174553e+00
2.125000000000000222e-01,1.000585972159174553e+00
2.156250000000000111e-01,1.000915097573802148e+00
2.187500000000000000e-01,-1.004114000105087445e+00
2.218750000000000167e-01,-1.004607687438581420e+00
2.250000000000000056e-01,-1.004443124994051306e+00
2.281250000000000222e-01,-8.466277541642441840e-01
2.312500000000000111e-01,1.000256846744848049e+00
2.343750000000000000e-01,1.000750534866450714e+00
2.375000000000000167e-01,1.000915097573802148e+00
2.406250000000000056e-01,-1.004443124994051306e+00
2.437500000000000222e-01,-1.004443124994051306e+00
2.468750000000000111e-01,-1.004443124994051306e+00
2.500000000000000000e-01,1.000585972159174553e+00
2.531249999999999889e-01,1.000750534866450714e+00
2.562500000000000333e-01,1.000585972159174553e+00
2.593750000000000222e-01,-1.004278562549553389e+00
2.625000000000000111e-01,-1.004607687438581420e+00
2.656250000000000000e-01,-1.004772249883143509e+00
2.687499999999999889e-01,9.997631586239219548e-01
2.718750000000000333e-01,1.000915097573802148e+00
2.750000000000000222e-01,1.000585972159174553e+00
2.781250000000000111e-01,1.000256846744848049e+00
2.812500000000000000e-01,-1.004607687438581420e+00
2.843749999999999889e-01,-1.004607687438581420e+00
2.875000000000000333e-01,-1.004607687438581420e+00
2.906250000000000222e-01,1.000421409451973664e+00
2.937500000000000111e-01,1.000750534866450714e+00
2.968750000000000000e-01,1.000750534866450714e+00
3.000000000000000444e-01,-1.004278562549553389e+00
3.031250000000000333e-01,-1.004278562549553389e+00
3.062500000000000222e-01,-1.004607687438581420e+00
3.093750000000000111e-01,1.000585972159174553e+00
3.125000000000000000e-01,1.000585972159174553e+00
3.156250000000000444e-01,1.000750534866450714e+00
3.187500000000000333e-01,-1.003949437660653476e+00
3.218750000000000222e-01,-1.004443124994051306e+00
3.250000000000000111e-01,-1.004936812327738016e+00
3.281250000000000000e-01,-1.004772249883143509e+00
3.312500000000000444e-01,1.000750534866450714e+00
3.343750000000000333e-01,1.000915097573802148e+00
3.375000000000000222e-01,1.000750534866450714e+00
3.406250000000000111e-01,-1.004278562549553389e+00
3.437500000000000000e-01,-1.004443124994051306e+00
3.468750000000000444e-01,-1.004607687438581420e+00
3.500000000000000333e-01,1.000256846744848049e+00
3.531250000000000222e-01,1.000585972159174553e+00
