# tiempo (s), tension (V)
0.000000000000000000e+00,1.000915097573802148e+00
2.702702702702702853e-03,-1.004607687438581420e+00
5.405405405405405705e-03,-1.004443124994051306e+00
8.108108108108108558e-03,-1.004607687438581420e+00
1.081081081081081141e-02,9.999277213308220835e-01
1.351351351351351426e-02,1.000915097573802148e+00
1.621621621621621712e-02,1.000750534866450714e+00
1.891891891891891997e-02,1.000915097573802148e+00
2.162162162162162282e-02,-1.004443124994051306e+00
2.432432432432432567e-02,-1.004443124994051306e+00
2.702702702702702853e-02,-1.004607687438581420e+00
2.972972972972973138e-02,-1.004772249883143509e+00
3.243243243243243423e-02,1.000750534866450714e+00
3.513513513513513709e-02,1.000750534866450714e+00
3.783783783783783994e-02,1.000915097573802148e+00
4.054054054054054279e-02,-1.002962062994723125e+00
4.324324324324324564e-02,-1.004607687438581420e+00
4.594594594594594850e-02,-1.004443124994051306e+00
4.864864864864865135e-02,-1.004443124994051306e+00
5.135135135135135420e-02,1.000585972159174553e+00
5.405405405405405705e-02,1.000585972159174553e+00
5.675675675675675991e-02,1.000750534866450714e+00
5.945945945945946276e-02,1.000421409451973664e+00
6.216216216216216561e-02,-1.004443124994051306e+00
6.486486486486486847e-02,-1.004443124994051306e+00
6.756756756756757132e-02,-1.004443124994051306e+00
7.027027027027027417e-02,-1.004443124994051306e+00
7.297297297297297702e-02,1.000585972159174553e+00
7.567567567567567988e-02,1.000915097573802148e+00
7.837837837837838273e-02,1.000585972159174553e+00
8.108108108108108558e-02,-1.003949437660653476e+00
8.378378378378378843e-02,-1.004607687438581420e+00
8.648648648648649129e-02,-1.004443124994051306e+00
8.918918918918919414e-02,-1.004607687438581420e+00
9.189189189189189699e-02,1.000421409451973664e+00
9.459459459459459985e-02,1.000585972159174553e+00
9.729729729729730270e-02,1.000421409451973664e+00
1.000000000000000056e-01,1.000750534866450714e+00
1.027027027027027084e-01,-1.004278562549553389e+00
1.054054054054054113e-01,-1.004772249883143509e+00
1.081081081081081141e-01,-1.004607687438581420e+00
1.108108108108108170e-01,9.999277213308220835e-01
1.135135135135135198e-01,1.000750534866450714e+00
1.162162162162162227e-01,1.000585972159174553e+00
1.189189189189189255e-01,1.000915097573802148e+00
1.216216216216216284e-01,-1.004607687438581420e+00
1.243243243243243312e-01,-1.004443124994051306e+00
1.270270270270270341e-01,-1.004607687438581420e+00
1.297297297297297369e-01,-1.004772249883143509e+00
1.324324324324324398e-01,1.000585972159174553e+00
1.351351351351351426e-01,1.000915097573802148e+00
1.378378378378378455e-01,1.000750534866450714e+00
1.405405405405405483e-01,-1.002962062994723125e+00
1.432432432432432512e-01,-1.004772249883143509e+00
1.459459459459459540e-01,-1.004607687438581420e+00
1.486486486486486569e-01,-1.004772249883143509e+00
1.513513513513513598e-01,1.000750534866450714e+00
1.540540540540540626e-01,1.000750534866450714e+00
1.567567567567567655e-01,1.000750534866450714e+00
1.594594594594594683e-01,1.000750534866450714e+00
1.621621621621621712e-01,-1.004443124994051306e+00
1.648648648648648740e-01,-1.004607687438581420e+00
1.675675675675675769e-01,-1.004443124994051306e+00
1.702702702702702797e-01,-1.004772249883143509e+00
1.729729729729729826e-01,1.000915097573802148e+00
1.756756756756756854e-01,1.000750534866450714e+00
1.783783783783783883e-01,1.000915097573802148e+00
1.810810810810810911e-01,-1.004114000105087445e+00
1.837837837837837940e-01,-1.004607687438581420e+00
1.864864864864864968e-01,-1.004607687438581420e+00
1.891891891891891997e-01,-1.004607687438581420e+00
1.918918918918919025e-01,1.000750534866450714e+00
1.945945945945946054e-01,1.000750534866450714e+00
1.972972972972973082e-01,1.000585972159174553e+00
2.000000000000000111e-01,1.000750534866450714e+00
2.027027027027027140e-01,-1.004607687438581420e+00
2.054054054054054168e-01,-1.004443124994051306e+00
2.081081081081081197e-01,-1.004278562549553389e+00
2.108108108108108225e-01,9.997631586239219548e-01
2.135135135135135254e-01,1.000421409451973664e+00
2.162162162162162282e-01,1.000750534866450714e+00
2.189189189189189311e-01,1.000585972159174553e+00
2.216216216216216339e-01,-1.004443124994051306e+00
2.243243243243243368e-01,-1.004772249883143509e+00
2.270270270270270396e-01,-1.004936812327738016e+00
2.297297297297297425e-01,-1.004607687438581420e+00
2.324324324324324453e-01,1.000585972159174553e+00
2.351351351351351482e-01,1.000915097573802148e+00
2.378378378378378510e-01,1.001079660281228634e+00
2.405405405405405539e-01,-1.002632938106335914e+00
2.432432432432432567e-01,-1.004607687438581420e+00
2.459459459459459596e-01,-1.004607687438581420e+00
2.486486486486486625e-01,-1.004936812327738016e+00
2.513513513513513375e-01,1.000421409451973664e+00
