# tiempo (s), tension (V)
0.000000000000000000e+00,5.192034686331842286e-01,5.193679450216294180e-01
1.000000000000000048e-04,5.154205117046676277e-01,5.141047006016581378e-01
2.000000000000000096e-04,5.114730783995845576e-01,5.098283145259496774e-01
3.000000000000000279e-04,5.065387867847888081e-01,5.062098340111189643e-01
4.000000000000000192e-04,5.025913535060810844e-01,5.017689715744759749e-01
5.000000000000000104e-04,4.984794438530582017e-01,4.971636327667237065e-01
6.000000000000000559e-04,4.946964869832678469e-01,4.928872467448919270e-01
6.999999999999999929e-04,4.905845773540361554e-01,4.884463843516768655e-01
8.000000000000000383e-04,4.863081913526098310e-01,4.844989511251903691e-01
9.000000000000000838e-04,4.828541872841100036e-01,4.802225651423813746e-01
1.000000000000000021e-03,4.784133249227859874e-01,4.761106555557256259e-01
1.100000000000000066e-03,4.743014153413576128e-01,4.719987459809197317e-01
1.200000000000000112e-03,4.698605530066675140e-01,4.678868364178547790e-01
1.300000000000000157e-03,4.642683560119833519e-01,4.627880685757969070e-01
1.399999999999999986e-03,4.596630173265127128e-01,4.575248243702779716e-01
1.500000000000000031e-03,4.555511077980182177e-01,4.529194857057220469e-01
1.600000000000000077e-03,4.514391982808297898e-01,4.489720525758983394e-01
1.700000000000000122e-03,4.469983360148398477e-01,4.446956666968304717e-01
1.800000000000000168e-03,4.428864265208195539e-01,4.407482335882717539e-01
1.899999999999999996e-03,4.382810879005366589e-01,4.361428949743264560e-01
2.000000000000000042e-03,4.340047020510345854e-01,4.323599382658632750e-01
2.100000000000000304e-03,4.285769815664505211e-01,4.275901232985163114e-01
2.200000000000000133e-03,4.247940248760032622e-01,4.229847847228471736e-01
2.299999999999999961e-03,4.205176390627092253e-01,4.188728752913614128e-01
2.400000000000000223e-03,4.142675367403632070e-01,4.137741076106618010e-01
2.500000000000000052e-03,4.103201037068542334e-01,4.088398163216956371e-01
2.600000000000000314e-03,4.047279069253096884e-01,4.039055250472314285e-01
2.700000000000000143e-03,4.006159975388858818e-01,3.996291392876143433e-01
2.799999999999999972e-03,3.958461826629710023e-01,3.948593244144215086e-01
2.900000000000000234e-03,3.914053205488887688e-01,3.902539859285545365e-01
3.000000000000000062e-03,3.858131238285646969e-01,3.854841710808579736e-01
3.100000000000000325e-03,3.808788326192915630e-01,3.812077853661562932e-01
3.200000000000000153e-03,3.757800650504902196e-01,3.759445414234555694e-01
3.299999999999999982e-03,3.715036793585365649e-01,3.713392029859662324e-01
3.400000000000000244e-03,3.657470063271681671e-01,3.662404354434525278e-01
3.500000000000000073e-03,3.604837624281004294e-01,3.609771915430225464e-01
3.600000000000000335e-03,3.555494712858111583e-01,3.552205185434373913e-01
3.700000000000000164e-03,3.509441328975980712e-01,3.504507037852132578e-01
3.799999999999999992e-03,3.453519362977259810e-01,3.455164126680875247e-01
3.900000000000000255e-03,3.399242160832843807e-01,3.399242160832843807e-01
4.000000000000000083e-03,3.358123068395011401e-01,3.353188777307962720e-01
4.100000000000000346e-03,3.300556339118546623e-01,3.303845866501526896e-01
4.200000000000000608e-03,3.256147719498109216e-01,3.254502955810234521e-01
4.300000000000000003e-03,3.206804808916335903e-01,3.205160045232205990e-01
4.400000000000000265e-03,3.152527607405034571e-01,3.147593316365153715e-01
4.500000000000000527e-03,3.111408515439265665e-01,3.099895169702313602e-01
4.599999999999999922e-03,3.042328441104769077e-01,3.045617968449315649e-01
4.700000000000000185e-03,3.020946513376590037e-01,2.994630294661103642e-01
4.800000000000000447e-03,2.948576911979581272e-01,2.943642620983266123e-01
4.899999999999999842e-03,2.923905457008131314e-01,2.897589238399654321e-01
5.000000000000000104e-03,2.864693965178893298e-01,2.840022510292059543e-01
5.100000000000000366e-03,2.810416764460005878e-01,2.789034836936229445e-01
5.200000000000000629e-03,2.746270981942344758e-01,2.724889054471930083e-01
5.300000000000000024e-03,2.708441417968130427e-01,2.683769963231673605e-01
5.400000000000000286e-03,2.641006108409218456e-01,2.631137526536747040e-01
5.500000000000000548e-03,2.621268944667857204e-01,2.588373671797227771e-01
5.599999999999999943e-03,2.548899344403989797e-01,2.529162180728165010e-01
5.700000000000000205e-03,2.519293598895399056e-01,2.488043089780736239e-01
5.800000000000000468e-03,2.451858289795332269e-01,2.432121126185722571e-01
5.899999999999999863e-03,2.432121126185722571e-01,2.391002035374341361e-01
6.000000000000000125e-03,2.359751526395082732e-01,2.338369599217078598e-01
6.100000000000000387e-03,2.328501017447588417e-01,2.292316217652704269e-01
6.200000000000000649e-03,2.267644763270771913e-01,2.242973308907760532e-01
6.300000000000000044e-03,2.213367563696791995e-01,2.193630400237561451e-01
6.400000000000000307e-03,2.167314182310035586e-01,2.147577018877821209e-01
6.500000000000000569e-03,2.096589346730302617e-01,2.081786474185271518e-01
6.599999999999999964e-03,2.070273128876741198e-01,2.035733092973322222e-01
6.700000000000000226e-03,1.989679711819609398e-01,1.979811130151243881e-01
6.800000000000000488e-03,1.973232075707105904e-01,1.937047276284716568e-01
6.900000000000000751e-03,1.886059604428769187e-01,1.881125313607498462e-01
7.000000000000000146e-03,1.871256731966784437e-01,1.836716696243272107e-01
7.100000000000000408e-03,1.795597606134050062e-01,1.787373788117049278e-01
7.200000000000000670e-03,1.754478516064903182e-01,1.733096589244423613e-01
7.300000000000000065e-03,1.701846080833138708e-01,1.687043208435401453e-01
7.400000000000000328e-03,1.636055536879786609e-01,1.627831718892163160e-01
7.500000000000000590e-03,1.591646919763438084e-01,1.586712628975254780e-01
7.599999999999999985e-03,1.515987794398385158e-01,1.514343030804745915e-01
